

0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.01, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.343 (+/-0.159) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.343 (+/-0.159) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.343 (+/-0.159) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.343 (+/-0.159) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 5, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.431 (+/-0.275) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.421 (+/-0.193) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 10, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 2}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.231 (+/-0.026) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 2}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 5, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 2}
0.384 (+/-0.092) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 50, 'num_mlp_layers': 10, 'train_batch_size': 5}

Best score: 0.4305555555555555 with params: {'epochs': 9, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
